code,name,members,member_count
LCN,Latin America & Caribbean ,"URY,MAF,TCA,CUB,KNA,LCA,DOM,COL,PER,CHL,SLV,HND,BRA,VGB,PRI,MEX,GTM,VEN,SUR,ECU,ARG,CYM,VCT,BRB,PAN,CUW,BOL,ATG,GUY,CRI,SXM,ABW,DMA,JAM,GRD,VIR,TTO,HTI,BLZ,PRY,BHS,NIC",42
LDC,Least developed countries: UN classification,"ETH,GIN,KIR,LBR,MLI,STP,TLS,BDI,BGD,SOM,COM,TUV,MRT,CAF,NPL,BEN,COD,BFA,MWI,LAO,ERI,TZA,AGO,DJI,LSO,RWA,SLE,GNB,SSD,MMR,UGA,YEM,MDG,TCD,AFG,TGO,HTI,ZMB,SEN,SDN,MOZ,SLB,KHM,GMB,NER",45
LTE,Late-demographic dividend,"URY,CYP,LVA,OMN,NCL,ALB,LCA,KAZ,ISL,COL,KGZ,CHL,BRN,MDA,MNE,THA,BRA,EST,PRI,ROU,GEO,MUS,TUN,POL,MYS,VCT,QAT,RUS,GUM,MKD,GUY,MNG,LBN,VNM,CRI,KWT,PRK,SRB,PYF,ABW,JAM,FJI,TTO,VIR,IRL,CHN,LKA,SYC,ARM,MAR,ARE,AZE,SVK,BHS",54
MDE,Middle East (developing only),"PSE,YEM,IRQ,DJI,LBN,IRN,JOR,SYR",8
MEA,Middle East & North Africa,"PSE,OMN,LBY,ISR,MLT,JOR,SYR,SAU,TUN,QAT,DJI,LBN,DZA,KWT,EGY,YEM,IRQ,MAR,ARE,IRN,BHR",21
MNA,Middle East & North Africa (excluding high income),"PSE,YEM,LBY,IRQ,MAR,DJI,LBN,IRN,DZA,JOR,EGY,SYR,TUN",13
NAC,North America,"BMU,USA,CAN",3
NAF,North Africa,"LBY,MAR,DZA,EGY,TUN",5
NRS,Non-resource rich Sub-Saharan Africa countries,"ETH,GIN,MLI,GHA,BDI,CMR,SOM,COM,CAF,BEN,KEN,BFA,MWI,ERI,TZA,LSO,CPV,RWA,GNB,MDG,CIV,TGO,SEN,SDN,MOZ,STP,GMB",27
OED,OECD members,"FIN,LVA,DEU,GRC,HUN,JPN,KOR,CHE,ISL,COL,PRT,CHL,ISR,LUX,EST,NZL,GBR,FRA,DNK,TUR,CAN,ESP,LTU,USA,BEL,MEX,AUT,POL,SWE,NLD,CRI,ITA,CZE,IRL,NOR,AUS,SVN,SVK",38
OSS,Other small states,"MNE,CYP,SWZ,MDV,EST,TLS,SYC,BTN,MLT,DJI,COM,CPV,MUS,ISL,STP,SMR,BRN,BHR",18
PRE,Pre-demographic dividend,"GIN,LBR,MLI,TLS,NGA,BDI,CMR,GNQ,SOM,COM,MRT,CAF,BEN,KEN,COD,BFA,MWI,ERI,AGO,SLE,GNB,SSD,UGA,MDG,TCD,IRQ,AFG,CIV,TGO,ZMB,COG,SEN,SDN,MOZ,TZA,GMB,NER",37
PSS,Pacific island small states,"FSM,KIR,MHL,TON,NRU,PLW,WSM,TUV,SLB,VUT,FJI",11
PST,Post-demographic dividend,"FIN,CUB,DEU,GRC,HUN,JPN,KOR,CHE,UKR,MAC,PRT,LUX,NZL,GBR,FRA,MLT,DNK,CAN,ESP,LTU,USA,BEL,HRV,AUT,BLR,BRB,SGP,SWE,NLD,HKG,ATG,BIH,ITA,CZE,NOR,AUS,BGR,SVN",38
RRS,Resource rich Sub-Saharan Africa countries,"GIN,LBR,TCD,NGA,ZMB,COG,COD,SLE,SSD,MRT,NER",11
SAS,South Asia,"PAK,NPL,MDV,AFG,LKA,BGD,BTN,IND",8
SSA,Sub-Saharan Africa (excluding high income),"ETH,GIN,LBR,GAB,MLI,GHA,BDI,CMR,GNQ,NGA,SOM,COM,ZWE,MRT,CAF,NAM,SWZ,BEN,KEN,COD,BFA,MUS,MWI,BWA,ERI,TZA,AGO,LSO,CPV,RWA,SLE,GNB,SSD,UGA,ZAF,MDG,TCD,CIV,TGO,ZMB,COG,SEN,SDN,MOZ,STP,GMB,NER",47
SSF,Sub-Saharan Africa ,"ETH,GIN,LBR,GAB,MLI,GHA,BDI,CMR,GNQ,NGA,SOM,COM,ZWE,MRT,CAF,NAM,SWZ,BEN,KEN,COD,BFA,MUS,MWI,BWA,ERI,TZA,AGO,LSO,CPV,RWA,SLE,GNB,SSD,UGA,ZAF,MDG,TCD,CIV,SYC,TGO,ZMB,COG,SEN,SDN,MOZ,STP,GMB,NER",48
SST,Small states,"CYP,KIR,KNA,STP,TLS,LCA,NRU,COM,PLW,WSM,ISL,TUV,VUT,SMR,BRN,MNE,FSM,SWZ,EST,BTN,MLT,MUS,SUR,VCT,BRB,MDV,TON,ATG,GUY,DJI,CPV,DMA,GRD,FJI,MHL,SYC,BLZ,SLB,BHS,BHR",40
SXZ,Sub-Saharan Africa excluding South Africa,"ETH,GIN,LBR,GAB,MLI,GHA,BDI,CMR,GNQ,NGA,SOM,COM,ZWE,MRT,CAF,NAM,SWZ,BEN,KEN,COD,BFA,MUS,MWI,BWA,ERI,TZA,AGO,LSO,CPV,RWA,SLE,GNB,SSD,UGA,MDG,TCD,CIV,SYC,TGO,ZMB,COG,SEN,SDN,MOZ,STP,GMB,NER",47
WLD,World,"PSE,TCA,LBR,GAB,LBY,DEU,BDI,GRC,NRU,COM,GRL,KAZ,TUV,MAC,PRT,TJK,CHI,VGB,EST,KEN,FRA,PRI,TUR,LTU,GTM,SYR,IND,ARG,TUN,BRB,BWA,CUW,GUM,NLD,LSO,LBN,ABW,DMA,GNB,GRD,YEM,TCD,NOR,IRQ,BLZ,COG,ARE,STP,KHM,NIC,NER,KIR,GNQ,CHE,WSM,CHL,MDA,ISR,MRT,FSM,LUX,NPL,AND,BEN,MLT,USA,BFA,JOR,MWI,BEL,HRV,AUT,PAK,QAT,MDV,TON,PNG,BIH,PRK,ITA,XKX,EGY,UZB,MMR,VIR,TTO,UGA,ZAF,AFG,AUS,LKA,SYC,ZMB,PRY,SDN,MOZ,MNP,TZA,GMB,MKD,FIN,URY,LIE,GIN,MAF,CUB,GHA,NGA,BGD,LCA,SOM,PLW,DOM,ISL,PER,SMR,BRN,CAF,SLV,NAM,ZWE,HND,SWZ,BRA,NZL,GBR,BTN,DNK,ESP,MEX,VEN,MCO,CYM,SWE,ERI,BOL,RWA,VNM,CRI,DZA,SRB,JAM,SSD,IRL,CHN,CIV,FRO,MHL,BGR,SVN,GIB,AZE,SVK,SLB,BHR,ETH,CYP,LVA,OMN,MLI,KNA,NCL,JPN,CMR,HUN,ALB,KOR,TLS,UKR,COL,VUT,KGZ,MNE,THA,CAN,COD,PHL,GEO,MUS,ROU,LAO,SAU,SUR,ECU,BLR,POL,MYS,VCT,SGP,IDN,PAN,RUS,AGO,ATG,GUY,HKG,DJI,BMU,CPV,IMN,KWT,MNG,SLE,SXM,PYF,CZE,FJI,MDG,ASM,TGO,HTI,ARM,MAR,IRN,SEN,TKM,BHS",217
XZN,Sub-Saharan Africa excluding South Africa and Nigeria,"ETH,GIN,LBR,GAB,MLI,GHA,BDI,CMR,GNQ,SOM,COM,ZWE,MRT,CAF,NAM,SWZ,BEN,KEN,COD,BFA,MUS,MWI,BWA,ERI,TZA,AGO,LSO,CPV,RWA,SLE,GNB,SSD,UGA,MDG,TCD,CIV,SYC,TGO,ZMB,COG,SEN,SDN,MOZ,STP,GMB,NER",46
